Ferro electric thin film material,Film thickness (nm),Substrate material,Remnant polarization,Coercive field,Article Title,Source Title,DOI,mpid,formula,space_group,crystal_system,a,b,c,alpha,beta,gamma,volume,density,band_gap,formation_energy,energy_above_hull
BaTiO3,,,3.2,53,Sol-gel processed barium titanate ceramics and thin films,JOURNAL OF MATERIALS SCIENCE,10.1023/A:1004576315328,mp-19990,BaTiO3,P4/mmm,Tetragonal,4.112467,4.112467,5.035613,90.0,90.0,90.0,85.16422489125650,4.546800709110380,0.0,-1.684818113666670,1.8074598639999700
Bi6Fe2Ti3O18 (BFTO),,Ba0:92La0:08SnO3 (BLSO),16.8,410,Ferroelectric properties in all solution prepared Bi6Fe2Ti3O18/Ba0:92La0:08SnO3 thin films,MODERN PHYSICS LETTERS B,10.1142/S0217984916503942,mp-1217427,Ti3Fe2(BiO3)6,Cm,Monoclinic,4.00049878520679,4.00049878520679,24.669239680673700,85.6832789299174,85.6832789299174,88.2890108322656,392.4532796676470,7.604112033054420,1.577,-2.203980591034480,0.053095289482759
BaTiO3,580,Pt(111)/SiO2/Si(100),8,30,FILM THICKNESS DEPENDENCE OF DIELECTRIC-PROPERTIES OF BATIO3 THIN-FILMS PREPARED BY SOL-GEL METHOD,JAPANESE JOURNAL OF APPLIED PHYSICS PART 1-REGULAR PAPERS SHORT NOTES & REVIEW PAPERS,10.1143/JJAP.33.5277,mp-19990,BaTiO3,P4/mmm,Tetragonal,4.112467,4.112467,5.035613,90.0,90.0,90.0,85.16422489125650,4.546800709110380,0.0,-1.684818113666670,1.8074598639999700
BaBiO3,,,19.87,66.87,Unveiling the polar properties on barium bismuthate perovskite thin films with distinct Ba/Bi ratios,JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2023.172871,mp-1182285,BaBiO3,P1,Triclinic,12.788143417100000,4.244221820663360,7.686089291430980,119.85280282854700,144.65878277741200,62.14360353743340,207.72494216352500,6.304104323338450,1.1031,-1.5902281980000000,0.643198812999998
"MBi4Ti4O15 (MBT15, M = Sr, Ca, Pb)",,"IrO2, Pt",19,116,"Ferroelectric properties of MBi4Ti4O15 (M=Sr, Pb, Ca) thin films",INTEGRATED FERROELECTRICS,10.1080/10584580490892782,mp-1227554,BaTi4Bi4O15,I4/mmm,Tetragonal,20.551678086634700,20.551678086634700,20.551678086634700,169.1139194805000,169.1139194805000,15.418578493399500,309.5918963075900,7.534344001796600,1.6025,-2.685265057430560,0.073209088958334
Bi4Ti3O12 (BIT) and tungsten-substituted Bi4Ti3O12 (BTW),,Pt/Ti/SiO2/Si,27,130,Ferroelectric properties of tungsten-substituted Bi4Ti3O12 thin film prepared by sol-gel method,JAPANESE JOURNAL OF APPLIED PHYSICS PART 1-REGULAR PAPERS SHORT NOTES & REVIEW PAPERS,10.1143/JJAP.41.6451,mp-1179025,Ti3(BiO3)4,C2/m,Monoclinic,3.864694375720030,3.864694375720030,16.978874726609200,84.22256089428060,84.22256089428060,88.83345502699920,251.01098852038200,7.750047518997610,1.542,-2.509956527894740,0.041130956447370000
SrBi2Ta2O9 (SBT),,platinized silicon,10,57,Pulsed laser deposition preparation and properties of SrBi2Ta2O9 thin films,THIN SOLID FILMS,10.1016/S0040-6090(96)09564-8,mp-554675,SrTa2Bi2O9,I4/mmm,Tetragonal,12.88926010521210,12.88926010521210,12.88926010521210,162.43201051905100,162.43201051905100,24.944205836485600,195.03203960702600,8.6118536180181,2.012,-2.813450842119050,0.024446373214285000
Bi4Ti3O12,,Pt,8.2,7.7,FABRICATION OF FERROELECTRIC BI4TI3O12 THIN-FILMS BY DIPPING-PYROLYSIS OF METAL NAPHTHENATES AND MICROPATTERNS BY AN ELECTRON-BEAM,JAPANESE JOURNAL OF APPLIED PHYSICS PART 1-REGULAR PAPERS BRIEF COMMUNICATIONS & REVIEW PAPERS,10.1143/JJAP.33.5301,mp-1179025,Ti3(BiO3)4,C2/m,Monoclinic,3.864694375720030,3.864694375720030,16.978874726609200,84.22256089428060,84.22256089428060,88.83345502699920,251.01098852038200,7.750047518997610,1.542,-2.509956527894740,0.041130956447370000
SrBi2Ta2O9 (SBT),500,Pt/TiO2/SiO2/Si,1.5,17,Properties of SBT films crystallized by pulsed excimer (KrF) laser annealing,MATERIALS SCIENCE AND ENGINEERING B-SOLID STATE MATERIALS FOR ADVANCED TECHNOLOGY,10.1016/S0921-5107(01)00839-X,mp-554675,SrTa2Bi2O9,I4/mmm,Tetragonal,12.88926010521210,12.88926010521210,12.88926010521210,162.43201051905100,162.43201051905100,24.944205836485600,195.03203960702600,8.6118536180181,2.012,-2.813450842119050,0.024446373214285000
SrBi2Ta2O9 (SBT),,,5.0,43,Pressure effect on the formation of ferroelectric SrBi2Ta2O9 thin films,JAPANESE JOURNAL OF APPLIED PHYSICS PART 1-REGULAR PAPERS SHORT NOTES & REVIEW PAPERS,10.1143/JJAP.39.2791,mp-554675,SrTa2Bi2O9,I4/mmm,Tetragonal,12.88926010521210,12.88926010521210,12.88926010521210,162.43201051905100,162.43201051905100,24.944205836485600,195.03203960702600,8.6118536180181,2.012,-2.813450842119050,0.024446373214285000
